,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,MiscFeature,SaleType,SaleCondition,OverallCond,GarageArea_x,TotalBsmtSF_x,BsmtFinSF1_x,OverallQual,GrLivArea,GarageCars,GarageArea_y,TotalBsmtSF_y,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,GarageYrBlt,MasVnrArea,Fireplaces,BsmtFinSF1_y,LotFrontage,WoodDeckSF,2ndFlrSF,OpenPorchSF,HalfBath,LotArea,BsmtFullBath,BsmtUnfSF
259,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,BrkFace,None,TA,TA,PConc,TA,Po,No,Unf,GasA,Gd,Y,FuseA,TA,Typ,Detchd,Unf,TA,TA,Y,0,WD,Normal,5,308,0,0,5,882,1,308,0,882,1,4,1956,1956,1956.0,0.0,0,0,70.0,0,0,45,0,12702,0,0
260,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,SLvl,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,Gd,Rec,GasA,TA,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,0,WD,Normal,5,884,1362,672,6,1382,2,884,1362,1382,1,6,1962,1962,1991.0,399.0,1,672,120.0,0,0,0,0,19296,1,0
261,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,CemntBd,CmentBd,Stone,Gd,TA,PConc,Ex,TA,No,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,BuiltIn,Fin,TA,TA,Y,0,New,Partial,5,868,1482,0,8,2574,3,868,1482,1482,2,10,2007,2007,2007.0,270.0,1,0,69.0,0,1092,148,1,9588,0,1482
262,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,Plywood,BrkFace,TA,TA,CBlock,Gd,Gd,Av,ALQ,GasA,TA,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,0,WD,Normal,7,492,506,506,6,1212,2,492,506,1212,1,6,1977,1995,1978.0,46.0,1,506,88.0,292,0,12,0,8471,1,0
263,RM,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,LwQ,GasA,TA,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,0,WD,Normal,7,484,926,234,5,1316,2,484,926,926,1,6,1929,2001,1974.0,0.0,0,234,50.0,0,0,0,0,5500,1,0
264,RM,Pave,IR3,Bnk,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,Fa,TA,No,Unf,GasA,Gd,N,FuseP,TA,Typ,Detchd,Unf,TA,TA,N,0,WD,Normal,5,504,680,0,5,764,2,504,680,764,1,4,1925,2004,1965.0,0.0,0,0,30.0,0,0,0,0,5232,0,680
265,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,Gd,CBlock,Gd,TA,No,GLQ,GasA,TA,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,0,WD,Normal,6,576,1422,588,6,1422,2,576,1422,1422,2,7,1981,1981,1981.0,210.0,1,588,78.0,276,0,0,0,12090,0,606
266,RL,Pave,IR1,HLS,AllPub,FR2,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Av,GLQ,GasA,Gd,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,0,WD,Normal,5,413,802,714,6,1511,2,413,802,802,2,8,1997,1997,1997.0,0.0,1,714,70.0,95,709,75,1,11207,1,88
267,RL,Pave,Reg,Bnk,AllPub,Inside,Mod,SWISU,Norm,Norm,1Fam,2.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,LwQ,GasA,Ex,Y,SBrkr,Gd,Typ,Detchd,Unf,TA,TA,Y,0,WD,Normal,8,240,720,378,5,2192,1,240,720,1052,2,8,1939,1997,1939.0,0.0,1,378,60.0,262,720,24,1,8400,0,342
268,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,ALQ,GasA,Ex,Y,SBrkr,TA,Typ,Detchd,Fin,Ex,Ex,Y,0,WD,Normal,6,924,740,403,5,778,1,924,740,778,1,4,1940,1955,1966.0,0.0,1,403,71.0,0,0,25,0,6900,0,212
269,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,Gd,CBlock,TA,Gd,No,BLQ,GasA,TA,Y,SBrkr,TA,Typ,Attchd,RFn,TA,Gd,Y,0,WD,Normal,7,504,1143,751,6,1113,1,504,1143,1113,1,6,1976,1976,1987.0,174.0,1,751,66.82352941176471,370,0,30,1,7917,1,392
270,FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Mn,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,0,New,Partial,5,1053,1095,0,8,1939,3,1053,1095,1095,2,8,2006,2006,2006.0,0.0,1,0,84.0,192,844,51,1,10728,0,1095
271,RL,Pave,IR1,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,1Story,Flat,Membran,Plywood,Plywood,None,TA,TA,CBlock,Gd,TA,Gd,LwQ,GasA,Ex,Y,SBrkr,TA,Mod,Attchd,Unf,TA,TA,Y,0,WD,Normal,7,439,1385,226,7,1363,2,439,1385,1363,1,5,1954,2005,1954.0,0.0,2,226,73.0,81,0,0,0,39104,1,96
272,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,0,WD,Normal,7,671,1152,524,8,2270,3,671,1152,1164,2,9,1999,2007,1999.0,348.0,1,524,92.0,132,1106,57,1,11764,0,628
273,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,TA,TA,CBlock,TA,TA,No,Rec,GasA,Gd,Y,SBrkr,TA,Min1,Attchd,RFn,TA,TA,Y,0,WD,Normal,6,338,1240,620,6,1632,1,338,1240,1632,2,6,1958,1988,1958.0,183.0,1,620,80.0,289,0,0,0,9600,1,0
274,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,ImStucc,None,TA,TA,CBlock,TA,TA,Gd,ALQ,GasA,TA,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,0,WD,Normal,7,264,816,546,5,816,1,264,816,816,1,5,1982,1982,1982.0,0.0,0,546,76.0,168,0,0,0,8314,0,270
275,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,Gd,Gd,BrkTil,TA,TA,No,Unf,GasW,Gd,N,SBrkr,Ex,Typ,Detchd,Unf,TA,TA,Y,0,WD,Normal,7,672,952,0,7,1548,2,672,952,952,2,5,1925,2007,1978.0,0.0,0,0,55.0,74,596,0,1,7264,0,952
276,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,No,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,0,WD,Normal,5,573,1560,0,7,1560,2,573,1560,1560,2,7,2003,2003,2003.0,0.0,0,0,129.0,100,0,150,0,9196,0,1560
277,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,LwQ,GasA,Ex,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,0,WD,Normal,5,400,864,120,4,864,2,400,864,864,1,4,1951,1951,1951.0,0.0,0,120,140.0,0,0,0,0,19138,0,744
278,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,CemntBd,CmentBd,BrkFace,Ex,TA,PConc,Ex,TA,Gd,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Attchd,Fin,TA,TA,Y,0,New,Partial,5,732,2121,0,9,2121,3,732,2121,2121,2,8,2006,2007,2007.0,315.0,1,0,107.0,124,0,98,1,14450,0,2121
279,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,2Story,Hip,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,BLQ,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,0,WD,Normal,5,505,1160,392,7,2022,2,505,1160,1156,2,8,1977,1977,1977.0,299.0,1,392,83.0,288,866,117,1,10005,0,768
280,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,Plywood,Plywood,BrkFace,Gd,TA,CBlock,Gd,TA,Av,GLQ,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,0,WD,Normal,6,575,807,421,7,1982,2,575,807,1175,2,7,1989,1989,1989.0,340.0,1,421,82.0,0,807,84,1,11287,0,386
281,FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,GLQ,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,0,New,Partial,5,572,1262,905,6,1262,2,572,1262,1262,2,5,2006,2006,2006.0,68.0,0,905,60.0,0,0,120,0,7200,0,357
282,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,0,ConLw,Normal,5,626,1314,904,7,1314,2,626,1314,1314,2,6,2007,2008,2008.0,166.0,1,904,34.0,172,0,62,0,5063,1,410
283,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,0,New,Partial,5,898,1468,0,8,1468,3,898,1468,1468,2,6,2008,2009,2008.0,72.0,1,0,74.0,210,0,150,0,9612,0,1468
284,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,Gable,CompShg,Plywood,ImStucc,None,Gd,TA,PConc,Gd,TA,No,GLQ,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,5,529,1575,430,6,1575,2,529,1575,1575,2,5,1992,1992,1992.0,0.0,0,430,50.0,0,0,0,0,8012,1,1145
285,FV,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,None,Gd,TA,PConc,Gd,TA,No,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Detchd,RFn,TA,TA,Y,0,New,Partial,5,528,625,0,7,1250,2,528,625,625,2,5,2006,2007,2006.0,0.0,0,0,35.0,0,625,54,1,4251,0,625
286,RL,Pave,IR1,Bnk,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,Rec,GasA,TA,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,7,440,912,600,6,1734,2,440,912,1085,1,7,1962,1981,1962.0,0.0,1,600,77.0,0,649,0,1,9786,0,312
287,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,BLQ,GasA,TA,Y,SBrkr,TA,Typ,BuiltIn,Unf,TA,TA,Y,0,WD,Normal,4,0,858,614,4,858,0,0,858,858,1,5,1971,1971,1957.0,0.0,0,614,60.05882352941178,0,0,0,0,8125,0,244
288,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,Gd,CBlock,TA,TA,No,BLQ,GasA,TA,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,0,WD,Normal,5,280,882,450,5,900,1,280,882,900,1,5,1967,1967,1970.0,31.0,0,450,72.3529411764706,0,0,0,0,9819,0,432
289,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,GasA,Ex,Y,FuseA,TA,Typ,Detchd,Unf,TA,TA,Y,0,WD,Normal,7,384,698,0,6,1396,1,384,698,698,1,7,1915,2003,2003.0,0.0,0,0,60.0,0,698,0,0,8730,0,698
290,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,Gd,TA,Y,0,New,Partial,5,685,1079,0,8,1919,2,685,1079,1079,2,8,2006,2006,2006.0,0.0,1,0,120.0,0,840,51,1,15611,0,1079
291,RL,Pave,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,2fmCon,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Fa,PConc,TA,Fa,No,Rec,GasA,Ex,N,SBrkr,Fa,Typ,BuiltIn,Unf,Fa,Fa,N,0,WD,Normal,6,0,780,210,5,1716,0,0,780,936,2,9,1912,2000,1933.0,0.0,0,210,55.0,0,780,184,0,5687,1,570
292,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,LwQ,GasA,Gd,Y,SBrkr,TA,Min2,Attchd,Unf,TA,TA,Y,0,WD,Normal,4,281,768,292,5,1716,1,281,768,1148,1,8,1949,2008,1949.0,0.0,1,292,60.0,0,568,0,1,11409,0,476
293,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosA,Norm,1Fam,2Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,GasA,Fa,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,0,WD,Normal,7,539,795,795,7,2263,2,539,795,1468,2,9,1977,1994,1977.0,34.0,1,795,92.29411764705885,0,795,250,1,16659,1,0
294,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,TA,TA,No,GLQ,GasA,TA,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,0,WD,Normal,5,418,1416,1285,6,1644,2,418,1416,1644,1,7,1953,1953,1953.0,238.0,2,1285,80.0,110,0,0,0,9600,1,131
295,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,Av,GLQ,GasA,TA,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,0,WD,Normal,6,588,1003,819,6,1003,2,588,1003,1003,1,6,1984,1984,1984.0,0.0,0,819,37.0,120,0,0,0,7937,1,184
296,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,BLQ,GasA,TA,Y,FuseA,TA,Typ,Attchd,Unf,TA,TA,Y,0,WD,Normal,5,282,910,420,5,1558,1,282,910,910,1,6,1950,1950,1950.0,0.0,0,420,75.0,289,648,0,1,13710,0,490
297,FV,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,BLQ,GasA,Ex,Y,SBrkr,Gd,Typ,Detchd,RFn,TA,TA,Y,0,WD,Normal,5,576,975,649,7,1950,2,576,975,975,2,7,1997,1998,1997.0,1600.0,1,649,66.0,0,975,10,1,7399,0,326
298,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,Mansard,CompShg,HdBoard,AsphShn,BrkFace,Gd,TA,CBlock,TA,TA,No,ALQ,GasA,Gd,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,0,WD,Normal,6,539,702,384,6,1743,2,539,702,1041,1,7,1968,1968,1968.0,365.0,1,384,90.0,224,702,0,2,11700,0,143
299,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,Gd,CBlock,TA,TA,No,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Unf,TA,TA,Y,0,WD,Family,8,300,1092,0,6,1152,1,300,1092,1152,1,6,1950,2004,1950.0,0.0,1,0,80.0,0,0,36,0,14000,0,1092
300,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,2fmCon,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,Mn,BLQ,GasA,TA,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,0,WD,Normal,5,375,1165,841,5,1336,1,375,1165,1336,1,5,1953,1953,1953.0,56.0,2,841,90.0,0,0,0,0,15750,1,324
301,RL,Pave,IR3,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Gd,Typ,BuiltIn,Fin,TA,TA,Y,0,WD,Normal,5,683,1028,281,8,2452,2,683,1028,1210,2,9,1998,1999,1998.0,0.0,1,281,66.0,208,1242,50,1,16226,0,747
302,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,5,843,1541,0,7,1541,3,843,1541,1541,2,6,2001,2002,2001.0,150.0,1,0,118.0,468,0,81,0,13704,0,1541
303,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,ALQ,GasA,TA,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,0,WD,Abnorml,7,552,894,894,5,894,2,552,894,894,1,5,1972,1972,1975.0,0.0,0,894,70.0,256,0,0,0,9800,1,0
304,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.5Fin,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,BrkTil,TA,TA,No,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Unf,TA,TA,Y,0,WD,Normal,9,870,1470,0,7,3493,3,870,1470,1675,3,10,1880,2002,2003.0,0.0,1,0,87.0,302,1818,0,0,18386,0,1470
305,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,CemntBd,CmentBd,Stone,Gd,TA,PConc,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,0,WD,Normal,5,888,2000,1464,8,2000,3,888,2000,2000,2,8,2004,2005,2004.0,246.0,0,1464,80.0,168,0,0,0,10386,1,536
306,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,Gable,CompShg,HdBoard,Plywood,BrkFace,Gd,TA,CBlock,Gd,TA,No,ALQ,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,5,746,700,700,7,2243,3,746,700,1122,2,8,1990,1991,1990.0,246.0,1,700,116.0,127,1121,44,1,13474,1,0
307,RM,Pave,IR1,Lvl,AllPub,Inside,Gtl,IDOTRR,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,TA,Fa,CBlock,TA,TA,No,Unf,GasA,TA,Y,FuseA,Fa,Typ,BuiltIn,Unf,Gd,Gd,N,0,WD,Normal,7,0,319,0,6,1406,0,0,319,1035,1,6,1920,1950,1926.0,0.0,0,0,67.47058823529412,0,371,144,0,7920,0,319
308,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,BLQ,GasA,Ex,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,0,WD,Normal,5,539,861,262,4,861,2,539,861,861,1,4,1940,1950,1961.0,0.0,0,262,87.52941176470587,158,0,0,0,12342,0,599
309,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,Gd,GLQ,GasA,Ex,Y,SBrkr,Ex,Typ,Attchd,Fin,TA,TA,Y,0,WD,Normal,5,708,1896,1274,9,1944,3,708,1896,1944,2,8,2003,2004,2003.0,0.0,3,1274,90.0,208,0,175,0,12378,1,622
310,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,PConc,Gd,TA,No,ALQ,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,0,WD,Normal,5,420,697,518,6,1501,2,420,697,697,2,6,1993,1994,1993.0,112.0,1,518,65.58823529411765,190,804,63,1,7685,0,179
311,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,ALQ,GasA,Ex,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,0,WD,Normal,6,240,972,680,6,972,1,240,972,972,1,5,1948,2002,1948.0,0.0,1,680,50.0,0,0,0,0,8000,1,292
312,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,2fmCon,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Mn,Rec,GasA,TA,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,0,WD,Normal,7,410,793,507,5,1118,2,410,793,793,1,5,1939,1950,1939.0,0.0,1,507,65.0,0,325,0,0,7800,1,286
313,RL,Pave,IR3,Low,AllPub,Inside,Sev,Timber,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,GasW,TA,Y,SBrkr,TA,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,5,513,2136,1236,7,2036,2,513,2136,2036,2,8,1965,1965,1965.0,0.0,2,1236,150.0,0,0,0,0,215245,2,80
314,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,Gd,No,LwQ,GasA,Ex,Y,SBrkr,Ex,Typ,Detchd,Unf,Fa,TA,Y,0,WD,Normal,7,546,728,16,7,1641,2,546,728,832,1,6,1925,1990,1925.0,0.0,1,16,60.0,0,809,0,1,9600,0,712
315,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,0,WD,Normal,5,432,716,425,7,1432,2,432,716,716,2,6,2004,2005,2004.0,0.0,1,425,71.0,100,716,51,1,7795,1,291
316,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,2Story,Gable,CompShg,CemntBd,CmentBd,BrkFace,Gd,TA,CBlock,Gd,TA,No,GLQ,GasA,TA,Y,SBrkr,Ex,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,7,484,845,692,7,2353,2,484,845,1153,2,10,1980,1980,1983.0,278.0,1,692,94.0,288,1200,195,1,13005,1,153
317,FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,5,1025,1088,0,8,1959,3,1025,1088,1088,2,8,2006,2006,2006.0,0.0,1,0,75.0,208,871,46,1,9000,0,1088
318,RL,Pave,Reg,Low,AllPub,Inside,Mod,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,Gd,TA,PConc,Gd,TA,Gd,GLQ,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,5,656,1347,987,7,2646,3,656,1347,1372,2,9,1993,1993,1993.0,256.0,1,987,90.0,340,1274,60,1,9900,1,360
319,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,Av,GLQ,GasA,TA,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,0,WD,Normal,5,588,1372,1036,7,1472,2,588,1372,1472,2,6,1980,1980,1980.0,225.0,2,1036,80.23529411764707,233,0,48,0,14115,1,336
